1/4/2021 5:14:54 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/4/2021 5:14:54 PM---Messages--:Connected With   : Database :- TVI_PilotCompany
1/4/2021 5:15:47 PM---Messages--:Adding Success Factor: -------
1/4/2021 5:16:11 PM---Messages--:ExecuteDataSet: Incorrect syntax near 'VALUES'.
1/4/2021 5:16:11 PM---Messages--:ExecuteDataSet: Incorrect syntax near 'VALUES'.
1/4/2021 5:16:12 PM---Messages--:Success Factor is added successfully: -------------------
1/4/2021 5:21:52 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/4/2021 5:21:52 PM---Messages--:Connected With   : Database :- TVI_PilotCompany
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 41791: -------#####--Success Factor ID:- 1761--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 42946: -------#####--Success Factor ID:- 1761--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 42944: -------#####--Success Factor ID:- 1761--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 42940: -------#####--Success Factor ID:- 1761--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 42888: -------#####--Success Factor ID:- 1761--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 43621: -------#####--Success Factor ID:- 1355--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 43617: -------#####--Success Factor ID:- 1355--------
1/4/2021 5:22:17 PM---Messages--:-#####--Claim ID:- 43619: -------#####--Success Factor ID:- 1355--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43746: -------#####--Success Factor ID:- 1842--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43695: -------#####--Success Factor ID:- 1596--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43378: -------#####--Success Factor ID:- 1613--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43676: -------#####--Success Factor ID:- 1824--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43674: -------#####--Success Factor ID:- 1824--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43245: -------#####--Success Factor ID:- 1409--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43241: -------#####--Success Factor ID:- 1409--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43239: -------#####--Success Factor ID:- 1409--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43709: -------#####--Success Factor ID:- 1520--------
1/4/2021 5:22:18 PM---Messages--:-#####--Claim ID:- 43705: -------#####--Success Factor ID:- 1520--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 42883: -------#####--Success Factor ID:- 1400--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 43789: -------#####--Success Factor ID:- 1838--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 43790: -------#####--Success Factor ID:- 1838--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 43956: -------#####--Success Factor ID:- 1489--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 41855: -------#####--Success Factor ID:- 1706--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 42534: -------#####--Success Factor ID:- 1505--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 42978: -------#####--Success Factor ID:- 1504--------
1/4/2021 5:22:19 PM---Messages--:-#####--Claim ID:- 42936: -------#####--Success Factor ID:- 1701--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 43604: -------#####--Success Factor ID:- 1415--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 43613: -------#####--Success Factor ID:- 1531--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 42867: -------#####--Success Factor ID:- 1666--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 43578: -------#####--Success Factor ID:- 1572--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 43579: -------#####--Success Factor ID:- 1572--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 43608: -------#####--Success Factor ID:- 986--------
1/4/2021 5:22:20 PM---Messages--:-#####--Claim ID:- 40147: -------#####--Success Factor ID:- 1750--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43812: -------#####--Success Factor ID:- 1697--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43606: -------#####--Success Factor ID:- CONT-011--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43680: -------#####--Success Factor ID:- 1845--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43802: -------#####--Success Factor ID:- 1716--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43715: -------#####--Success Factor ID:- 374--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43653: -------#####--Success Factor ID:- 1200--------
1/4/2021 5:22:21 PM---Messages--:-#####--Claim ID:- 43654: -------#####--Success Factor ID:- 1200--------
1/4/2021 5:22:22 PM---Messages--:-#####--Claim ID:- 43953: -------#####--Success Factor ID:- 1375--------
1/4/2021 5:22:22 PM---Messages--:Adding Success Factor: -------
1/4/2021 5:22:26 PM---Messages--:Success Factor is added successfully: -------------------
