12/8/2020 4:32:11 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
12/8/2020 4:32:11 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
12/8/2020 4:32:44 PM---Messages--:-#####--Claim ID:- 41475: -------#####--Success Factor ID:- 1734--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41473: -------#####--Success Factor ID:- 1517--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 40986: -------#####--Success Factor ID:- 1723--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41008: -------#####--Success Factor ID:- 1529--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41073: -------#####--Success Factor ID:- 1684--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41071: -------#####--Success Factor ID:- 1684--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41405: -------#####--Success Factor ID:- 1611--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41488: -------#####--Success Factor ID:- 1793--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41492: -------#####--Success Factor ID:- 1793--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41486: -------#####--Success Factor ID:- 1793--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41358: -------#####--Success Factor ID:- 1831--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41467: -------#####--Success Factor ID:- 1831--------
12/8/2020 4:32:45 PM---Messages--:-#####--Claim ID:- 41477: -------#####--Success Factor ID:- 1818--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41479: -------#####--Success Factor ID:- DT186--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 42046: -------#####--Success Factor ID:- 1195--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41620: -------#####--Success Factor ID:- 1830--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41626: -------#####--Success Factor ID:- 1830--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41565: -------#####--Success Factor ID:- 1696--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 42006: -------#####--Success Factor ID:- 1705--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41710: -------#####--Success Factor ID:- 1704--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41401: -------#####--Success Factor ID:- 1505--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41853: -------#####--Success Factor ID:- 1824--------
12/8/2020 4:32:46 PM---Messages--:-#####--Claim ID:- 41851: -------#####--Success Factor ID:- 1824--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41494: -------#####--Success Factor ID:- 1226--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41708: -------#####--Success Factor ID:- 1374--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41801: -------#####--Success Factor ID:- 1228--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41803: -------#####--Success Factor ID:- 976--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41817: -------#####--Success Factor ID:- 766--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41831: -------#####--Success Factor ID:- 1324--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41857: -------#####--Success Factor ID:- 1222--------
12/8/2020 4:32:47 PM---Messages--:-#####--Claim ID:- 41871: -------#####--Success Factor ID:- 1328--------
12/8/2020 4:32:48 PM---Messages--:-#####--Claim ID:- 41873: -------#####--Success Factor ID:- 1328--------
