1/18/2021 1:41:41 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/18/2021 1:41:41 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
1/18/2021 1:42:21 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/18/2021 1:42:21 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
1/18/2021 1:43:34 PM---Messages--:-#####--Claim ID:- 45633: -------#####--Success Factor ID:- 1328--------
1/18/2021 1:43:34 PM---Messages--:-#####--Claim ID:- 45669: -------#####--Success Factor ID:- 1328--------
1/18/2021 1:43:35 PM---Messages--:-#####--Claim ID:- 45670: -------#####--Success Factor ID:- 1328--------
1/18/2021 1:43:35 PM---Messages--:-#####--Claim ID:- 45671: -------#####--Success Factor ID:- 1328--------
1/18/2021 1:43:35 PM---Messages--:-#####--Claim ID:- 45635: -------#####--Success Factor ID:- 1328--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45678: -------#####--Success Factor ID:- 1412--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45275: -------#####--Success Factor ID:- 1752--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45273: -------#####--Success Factor ID:- 1752--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45541: -------#####--Success Factor ID:- 1827--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45549: -------#####--Success Factor ID:- 1827--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45545: -------#####--Success Factor ID:- 1827--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 45543: -------#####--Success Factor ID:- 1827--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 43088: -------#####--Success Factor ID:- 1529--------
1/18/2021 1:43:52 PM---Messages--:-#####--Claim ID:- 38702: -------#####--Success Factor ID:- 1529--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45486: -------#####--Success Factor ID:- 1326--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45484: -------#####--Success Factor ID:- 1326--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 44376: -------#####--Success Factor ID:- 1790--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 44372: -------#####--Success Factor ID:- 1790--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 44370: -------#####--Success Factor ID:- 1790--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 44366: -------#####--Success Factor ID:- 1790--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 44337: -------#####--Success Factor ID:- 1790--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45472: -------#####--Success Factor ID:- 1088--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45476: -------#####--Success Factor ID:- 1088--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45474: -------#####--Success Factor ID:- 1088--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45470: -------#####--Success Factor ID:- 1088--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45645: -------#####--Success Factor ID:- 1768--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45599: -------#####--Success Factor ID:- 547--------
1/18/2021 1:43:53 PM---Messages--:-#####--Claim ID:- 45609: -------#####--Success Factor ID:- 1228--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45358: -------#####--Success Factor ID:- 1822--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45022: -------#####--Success Factor ID:- 1257--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45195: -------#####--Success Factor ID:- 1416--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45197: -------#####--Success Factor ID:- 1211--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45653: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45655: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45657: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45676: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45623: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45621: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45617: -------#####--Success Factor ID:- 1799--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45674: -------#####--Success Factor ID:- 1496--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 45663: -------#####--Success Factor ID:- 1802--------
1/18/2021 1:43:54 PM---Messages--:-#####--Claim ID:- 43012: -------#####--Success Factor ID:- 1654--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 43013: -------#####--Success Factor ID:- 1654--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45523: -------#####--Success Factor ID:- 1409--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 43861: -------#####--Success Factor ID:- 1409--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45521: -------#####--Success Factor ID:- 1409--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45199: -------#####--Success Factor ID:- CONT-011--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 42353: -------#####--Success Factor ID:- 1537--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 40852: -------#####--Success Factor ID:- 1537--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 42358: -------#####--Success Factor ID:- 1537--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45143: -------#####--Success Factor ID:- 1745--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45567: -------#####--Success Factor ID:- 1843--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45557: -------#####--Success Factor ID:- 872--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45559: -------#####--Success Factor ID:- 872--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45315: -------#####--Success Factor ID:- 1847--------
1/18/2021 1:43:55 PM---Messages--:-#####--Claim ID:- 45661: -------#####--Success Factor ID:- 1847--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 43357: -------#####--Success Factor ID:- 1524--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 42470: -------#####--Success Factor ID:- 1524--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 43355: -------#####--Success Factor ID:- 1524--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 42472: -------#####--Success Factor ID:- 1524--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45498: -------#####--Success Factor ID:- 1828--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45496: -------#####--Success Factor ID:- 1828--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45492: -------#####--Success Factor ID:- 1828--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45488: -------#####--Success Factor ID:- 1815--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45736: -------#####--Success Factor ID:- 1703--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45734: -------#####--Success Factor ID:- 1703--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45732: -------#####--Success Factor ID:- 1703--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45468: -------#####--Success Factor ID:- 1793--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 45730: -------#####--Success Factor ID:- 1558--------
1/18/2021 1:43:56 PM---Messages--:-#####--Claim ID:- 44945: -------#####--Success Factor ID:- 498--------
1/18/2021 1:43:57 PM---Messages--:-#####--Claim ID:- 45724: -------#####--Success Factor ID:- 1433--------
1/18/2021 1:43:57 PM---Messages--:Adding Success Factor: -------
1/18/2021 1:44:16 PM---Messages--:Success Factor is added successfully: -------------------
1/18/2021 3:26:18 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/18/2021 3:26:18 PM---Messages--:Connected With   : Database :- TVI_PilotCompany
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45633: -------#####--Success Factor ID:- 1328--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45669: -------#####--Success Factor ID:- 1328--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45670: -------#####--Success Factor ID:- 1328--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45671: -------#####--Success Factor ID:- 1328--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45635: -------#####--Success Factor ID:- 1328--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45678: -------#####--Success Factor ID:- 1412--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45275: -------#####--Success Factor ID:- 1752--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45273: -------#####--Success Factor ID:- 1752--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45541: -------#####--Success Factor ID:- 1827--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45549: -------#####--Success Factor ID:- 1827--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45545: -------#####--Success Factor ID:- 1827--------
1/18/2021 3:26:30 PM---Messages--:-#####--Claim ID:- 45543: -------#####--Success Factor ID:- 1827--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 43088: -------#####--Success Factor ID:- 1529--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 38702: -------#####--Success Factor ID:- 1529--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45486: -------#####--Success Factor ID:- 1326--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45484: -------#####--Success Factor ID:- 1326--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 44376: -------#####--Success Factor ID:- 1790--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 44372: -------#####--Success Factor ID:- 1790--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 44370: -------#####--Success Factor ID:- 1790--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 44366: -------#####--Success Factor ID:- 1790--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 44337: -------#####--Success Factor ID:- 1790--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45472: -------#####--Success Factor ID:- 1088--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45476: -------#####--Success Factor ID:- 1088--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45474: -------#####--Success Factor ID:- 1088--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45470: -------#####--Success Factor ID:- 1088--------
1/18/2021 3:26:31 PM---Messages--:-#####--Claim ID:- 45645: -------#####--Success Factor ID:- 1768--------
1/18/2021 3:26:32 PM---Messages--:-#####--Claim ID:- 45599: -------#####--Success Factor ID:- 547--------
1/18/2021 3:26:32 PM---Messages--:-#####--Claim ID:- 45609: -------#####--Success Factor ID:- 1228--------
1/18/2021 3:26:32 PM---Messages--:-#####--Claim ID:- 45358: -------#####--Success Factor ID:- 1822--------
1/18/2021 3:26:32 PM---Messages--:-#####--Claim ID:- 45022: -------#####--Success Factor ID:- 1257--------
1/18/2021 3:26:32 PM---Messages--:-#####--Claim ID:- 45195: -------#####--Success Factor ID:- 1416--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45197: -------#####--Success Factor ID:- 1211--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45653: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45655: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45657: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45676: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45623: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45621: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45617: -------#####--Success Factor ID:- 1799--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45674: -------#####--Success Factor ID:- 1496--------
1/18/2021 3:26:33 PM---Messages--:-#####--Claim ID:- 45663: -------#####--Success Factor ID:- 1802--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 43012: -------#####--Success Factor ID:- 1654--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 43013: -------#####--Success Factor ID:- 1654--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 45523: -------#####--Success Factor ID:- 1409--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 43861: -------#####--Success Factor ID:- 1409--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 45521: -------#####--Success Factor ID:- 1409--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 45199: -------#####--Success Factor ID:- CONT-011--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 42353: -------#####--Success Factor ID:- 1537--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 40852: -------#####--Success Factor ID:- 1537--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 42358: -------#####--Success Factor ID:- 1537--------
